ROI,NetworkID,NetworkName
0,15,VisCent
1,15,VisCent
2,15,VisCent
3,15,VisCent
4,15,VisCent
5,15,VisCent
6,15,VisCent
7,15,VisCent
8,15,VisCent
9,15,VisCent
10,15,VisCent
11,15,VisCent
12,16,VisPeri
13,16,VisPeri
14,16,VisPeri
15,16,VisPeri
16,16,VisPeri
17,16,VisPeri
18,16,VisPeri
19,16,VisPeri
20,16,VisPeri
21,16,VisPeri
22,16,VisPeri
23,16,VisPeri
24,12,SomMotA
25,12,SomMotA
26,12,SomMotA
27,12,SomMotA
28,12,SomMotA
29,12,SomMotA
30,12,SomMotA
31,12,SomMotA
32,12,SomMotA
33,12,SomMotA
34,12,SomMotA
35,12,SomMotA
36,12,SomMotA
37,12,SomMotA
38,12,SomMotA
39,12,SomMotA
40,12,SomMotA
41,12,SomMotA
42,12,SomMotA
43,13,SomMotB
44,13,SomMotB
45,13,SomMotB
46,13,SomMotB
47,13,SomMotB
48,13,SomMotB
49,13,SomMotB
50,13,SomMotB
51,13,SomMotB
52,13,SomMotB
53,13,SomMotB
54,13,SomMotB
55,13,SomMotB
56,13,SomMotB
57,13,SomMotB
58,13,SomMotB
59,6,DorsAttnA
60,6,DorsAttnA
61,6,DorsAttnA
62,6,DorsAttnA
63,6,DorsAttnA
64,6,DorsAttnA
65,6,DorsAttnA
66,6,DorsAttnA
67,6,DorsAttnA
68,6,DorsAttnA
69,6,DorsAttnA
70,6,DorsAttnA
71,6,DorsAttnA
72,7,DorsAttnB
73,7,DorsAttnB
74,7,DorsAttnB
75,7,DorsAttnB
76,7,DorsAttnB
77,7,DorsAttnB
78,7,DorsAttnB
79,7,DorsAttnB
80,7,DorsAttnB
81,7,DorsAttnB
82,7,DorsAttnB
83,7,DorsAttnB
84,7,DorsAttnB
85,10,SalVentAttnA
86,10,SalVentAttnA
87,10,SalVentAttnA
88,10,SalVentAttnA
89,10,SalVentAttnA
90,10,SalVentAttnA
91,10,SalVentAttnA
92,10,SalVentAttnA
93,10,SalVentAttnA
94,10,SalVentAttnA
95,10,SalVentAttnA
96,10,SalVentAttnA
97,10,SalVentAttnA
98,10,SalVentAttnA
99,10,SalVentAttnA
100,11,SalVentAttnB
101,11,SalVentAttnB
102,11,SalVentAttnB
103,11,SalVentAttnB
104,11,SalVentAttnB
105,11,SalVentAttnB
106,11,SalVentAttnB
107,11,SalVentAttnB
108,9,LimbicB
109,9,LimbicB
110,9,LimbicB
111,9,LimbicB
112,9,LimbicB
113,8,LimbicA
114,8,LimbicA
115,8,LimbicA
116,8,LimbicA
117,8,LimbicA
118,8,LimbicA
119,8,LimbicA
120,0,ContA
121,0,ContA
122,0,ContA
123,0,ContA
124,0,ContA
125,0,ContA
126,0,ContA
127,0,ContA
128,0,ContA
129,0,ContA
130,0,ContA
131,0,ContA
132,0,ContA
133,1,ContB
134,1,ContB
135,1,ContB
136,1,ContB
137,1,ContB
138,1,ContB
139,1,ContB
140,1,ContB
141,1,ContB
142,1,ContB
143,2,ContC
144,2,ContC
145,2,ContC
146,2,ContC
147,2,ContC
148,3,DefaultA
149,3,DefaultA
150,3,DefaultA
151,3,DefaultA
152,3,DefaultA
153,3,DefaultA
154,3,DefaultA
155,3,DefaultA
156,3,DefaultA
157,3,DefaultA
158,3,DefaultA
159,3,DefaultA
160,3,DefaultA
161,3,DefaultA
162,3,DefaultA
163,3,DefaultA
164,3,DefaultA
165,3,DefaultA
166,4,DefaultB
167,4,DefaultB
168,4,DefaultB
169,4,DefaultB
170,4,DefaultB
171,4,DefaultB
172,4,DefaultB
173,4,DefaultB
174,4,DefaultB
175,4,DefaultB
176,4,DefaultB
177,4,DefaultB
178,4,DefaultB
179,4,DefaultB
180,4,DefaultB
181,4,DefaultB
182,4,DefaultB
183,4,DefaultB
184,4,DefaultB
185,4,DefaultB
186,4,DefaultB
187,5,DefaultC
188,5,DefaultC
189,5,DefaultC
190,5,DefaultC
191,5,DefaultC
192,5,DefaultC
193,5,DefaultC
194,14,TempPar
195,14,TempPar
196,14,TempPar
197,14,TempPar
198,14,TempPar
199,14,TempPar
200,15,VisCent
201,15,VisCent
202,15,VisCent
203,15,VisCent
204,15,VisCent
205,15,VisCent
206,15,VisCent
207,15,VisCent
208,15,VisCent
209,15,VisCent
210,15,VisCent
211,15,VisCent
212,16,VisPeri
213,16,VisPeri
214,16,VisPeri
215,16,VisPeri
216,16,VisPeri
217,16,VisPeri
218,16,VisPeri
219,16,VisPeri
220,16,VisPeri
221,16,VisPeri
222,16,VisPeri
223,12,SomMotA
224,12,SomMotA
225,12,SomMotA
226,12,SomMotA
227,12,SomMotA
228,12,SomMotA
229,12,SomMotA
230,12,SomMotA
